OTHER PLACES,Cases,Deaths,Serious,Recovered,date2,unixtime
Armenia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Dominican Republic,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Argentina,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Liechtenstein,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Bhutan,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Gibraltar,1,0,1,,Fri Mar  6 16:18:15 PST 2020,1583540295
Serbia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Vatican City,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
Colombia,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
South Africa,1,0,,,Fri Mar  6 16:18:15 PST 2020,1583540295
TOTAL,101499,3456,6335,55648,Fri Mar  6 16:18:15 PST 2020,1583540295
