china,location,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
outside,Denmark,10,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Croatia,9,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Greece,8,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Algeria,8,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Qatar,8,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Czech Republic,8,0,0,0,0,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Finland,7,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Ecuador,7,0,,1,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Belarus,6,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Romania,6,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Mexico,5,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Pakistan,5,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Portugal,5,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Azerbaijan,3,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Philippines,3,1,,,2,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Russia,3,0,,,2,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Georgia,3,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Egypt,2,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Indonesia,2,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Brazil,2,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Ireland,2,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Estonia,2,0,0,0,0,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,New Zealand,2,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Senegal,2,0,0,0,0,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Hungary,2,0,0,0,0,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Nepal,1,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Cambodia,1,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Sri Lanka,1,0,,,1,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Afghanistan,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,North Macedonia,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Nigeria,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Lithuania,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Monaco,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Luxembourg,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Ukraine,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Morocco,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Latvia,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Saudi Arabia,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Tunisia,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Jordan,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Andorra,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Armenia,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Dominican Republic,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Chile,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Argentina,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Liechtenstein,1,0,,,,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,Poland,1,0,0,0,0,Wed Mar  4 11:16:06 PST 2020,1583349366
outside,TOTAL,14648,269,346,45,1205,Wed Mar  4 11:16:06 PST 2020,1583349366
