china,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Ireland,13,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Finland,12,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Macau,10,0,,,6,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Croatia,10,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Brazil,9,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Georgia,9,0,1,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Qatar,8,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Czech Republic,8,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Portugal,8,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Romania,7,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Belarus,6,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Azerbaijan,6,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Slovenia,6,0,,,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Mexico,5,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Estonia,5,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Saudi Arabia,5,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Pakistan,5,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Philippines,5,1,1,,2,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Poland,5,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Chile,5,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Senegal,4,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Palestine,4,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Russia,4,0,,,2,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,New Zealand,4,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Indonesia,4,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Egypt,3,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Hungary,2,0,0,0,0,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Morocco,2,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Bosnia,2,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Luxembourg,2,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Nepal,1,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Cambodia,1,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Sri Lanka,1,0,,,1,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Afghanistan,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,North Macedonia,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Nigeria,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Lithuania,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Monaco,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Ukraine,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Latvia,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Tunisia,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Jordan,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Andorra,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Armenia,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Dominican Republic,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Argentina,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Liechtenstein,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Bhutan,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Gibraltar,1,0,1,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Serbia,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Vatican City,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,Cameroon,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,South Africa,1,0,,,,Fri Mar  6 10:51:47 PST 2020,1583520707
inside,TOTAL,101002,3454,6334,47,55630,Fri Mar  6 10:51:47 PST 2020,1583520707
