,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
49,,Nigeria,9.08200000,8.67530000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
50,Western Australia,Australia,-31.95050000,115.86050000,9,9,0,0.00000000,2020-03-16 08:41:38.191899
51,,Ireland,53.14240000,-7.69210000,43,43,0,0.00000000,2020-03-16 08:41:38.191899
52,,Luxembourg,49.81530000,6.12960000,7,19,12,171.42857143,2020-03-16 08:41:38.191899
53,,Monaco,43.73330000,7.41670000,1,2,1,100.00000000,2020-03-16 08:41:38.191899
54,,Qatar,25.35480000,51.18390000,262,262,0,0.00000000,2020-03-16 08:41:38.191899
55,,Ecuador,-1.83120000,-78.18340000,17,17,0,0.00000000,2020-03-16 08:41:38.191899
56,,Azerbaijan,40.14310000,47.57690000,11,11,0,0.00000000,2020-03-16 08:41:38.191899
57,,Armenia,40.06910000,45.03820000,1,4,3,300.00000000,2020-03-16 08:41:38.191899
58,,Dominican Republic,18.73570000,-70.16270000,5,5,0,0.00000000,2020-03-16 08:41:38.191899
59,,Indonesia,-0.78930000,113.92130000,34,34,0,0.00000000,2020-03-16 08:41:38.191899
60,,Portugal,39.39990000,-8.22450000,59,59,0,0.00000000,2020-03-16 08:41:38.191899
61,,Andorra,42.50630000,1.52180000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
62,Tasmania,Australia,-41.45450000,145.97070000,3,3,0,0.00000000,2020-03-16 08:41:38.191899
63,,Latvia,56.87960000,24.60320000,10,10,0,0.00000000,2020-03-16 08:41:38.191899
64,,Morocco,31.79170000,-7.09260000,5,6,1,20.00000000,2020-03-16 08:41:38.191899
65,,Saudi Arabia,24.00000000,45.00000000,21,45,24,114.28571429,2020-03-16 08:41:38.191899
66,,Senegal,14.49740000,-14.45240000,4,4,0,0.00000000,2020-03-16 08:41:38.191899
67,,Argentina,-38.41610000,-63.61670000,19,19,0,0.00000000,2020-03-16 08:41:38.191899
68,,Chile,-35.67510000,-71.54300000,23,23,0,0.00000000,2020-03-16 08:41:38.191899
69,,Jordan,31.24000000,36.51000000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
70,,Ukraine,48.37940000,31.16560000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
71,,Hungary,47.16250000,19.50330000,13,13,0,0.00000000,2020-03-16 08:41:38.191899
72,Northern Territory,Australia,-12.46340000,130.84560000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
73,,Liechtenstein,47.14000000,9.55000000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
74,,Poland,51.91940000,19.14510000,31,49,18,58.06451613,2020-03-16 08:41:38.191899
75,,Tunisia,34.00000000,9.00000000,7,7,0,0.00000000,2020-03-16 08:41:38.191899
76,,Bosnia and Herzegovina,43.91590000,17.67910000,7,11,4,57.14285714,2020-03-16 08:41:38.191899
77,,Slovenia,46.15120000,14.99550000,57,89,32,56.14035088,2020-03-16 08:41:38.191899
78,,South Africa,-30.55950000,22.93750000,13,17,4,30.76923077,2020-03-16 08:41:38.191899
79,,Bhutan,27.51420000,90.43360000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
80,,Cameroon,3.84800000,11.50210000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
81,,Colombia,4.57090000,-74.29730000,9,9,0,0.00000000,2020-03-16 08:41:38.191899
82,,Costa Rica,9.74890000,-83.75340000,13,22,9,69.23076923,2020-03-16 08:41:38.191899
83,,Peru,-9.19000000,-75.01520000,11,15,4,36.36363636,2020-03-16 08:41:38.191899
84,,Serbia,44.01650000,21.00590000,12,19,7,58.33333333,2020-03-16 08:41:38.191899
85,,Slovakia,48.66900000,19.69900000,10,16,6,60.00000000,2020-03-16 08:41:38.191899
86,,Togo,8.61950000,0.82480000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
87,,French Guiana,3.93390000,-53.12580000,5,5,0,0.00000000,2020-03-16 08:41:38.191899
88,,Malta,35.93750000,14.37540000,6,6,0,0.00000000,2020-03-16 08:41:38.191899
89,,Martinique,14.64150000,-61.02420000,3,3,0,0.00000000,2020-03-16 08:41:38.191899
90,,Bulgaria,42.73390000,25.48580000,7,7,0,0.00000000,2020-03-16 08:41:38.191899
91,,Maldives,3.20280000,73.22070000,8,8,0,0.00000000,2020-03-16 08:41:38.191899
92,,Bangladesh,23.68500000,90.35630000,3,3,0,0.00000000,2020-03-16 08:41:38.191899
93,,Paraguay,-23.44250000,-58.44380000,5,5,0,0.00000000,2020-03-16 08:41:38.191899
94,Ontario,Canada,51.25380000,-85.32320000,41,42,1,2.43902439,2020-03-16 08:41:38.191899
95,Alberta,Canada,53.93330000,-116.57650000,19,19,0,0.00000000,2020-03-16 08:41:38.191899
96,Quebec,Canada,52.93990000,-73.54910000,8,9,1,12.50000000,2020-03-16 08:41:38.191899
97,,Albania,41.15330000,20.16830000,12,23,11,91.66666667,2020-03-16 08:41:38.191899
98,,Cyprus,35.12640000,33.42990000,6,6,0,0.00000000,2020-03-16 08:41:38.191899
99,,Brunei,4.53530000,114.72770000,11,11,0,0.00000000,2020-03-16 08:41:38.191899
100,Washington,US,47.40090000,-121.49050000,366,442,76,20.76502732,2020-03-16 08:41:38.191899
101,New York,US,42.16570000,-74.94810000,220,328,108,49.09090909,2020-03-16 08:41:38.191899
102,California,US,36.11620000,-119.68160000,177,221,44,24.85875706,2020-03-16 08:41:38.191899
103,Massachusetts,US,42.23020000,-71.53010000,95,108,13,13.68421053,2020-03-16 08:41:38.191899
104,Diamond Princess,US,35.44370000,139.63800000,46,46,0,0.00000000,2020-03-16 08:41:38.191899
105,Grand Princess,US,37.64890000,-122.66550000,21,21,0,0.00000000,2020-03-16 08:41:38.191899
106,Georgia,US,33.04060000,-83.64310000,23,31,8,34.78260870,2020-03-16 08:41:38.191899
107,Colorado,US,39.05980000,-105.31110000,34,45,11,32.35294118,2020-03-16 08:41:38.191899
108,Florida,US,27.76630000,-81.68680000,28,35,7,25.00000000,2020-03-16 08:41:38.191899
109,New Jersey,US,40.29890000,-74.52100000,23,29,6,26.08695652,2020-03-16 08:41:38.191899
110,Oregon,US,44.57200000,-122.07090000,19,24,5,26.31578947,2020-03-16 08:41:38.191899
111,Texas,US,31.05450000,-97.56350000,21,27,6,28.57142857,2020-03-16 08:41:38.191899
112,Illinois,US,40.34950000,-88.98610000,25,32,7,28.00000000,2020-03-16 08:41:38.191899
113,Pennsylvania,US,40.59080000,-77.20980000,16,22,6,37.50000000,2020-03-16 08:41:38.191899
114,Iowa,US,42.01150000,-93.21050000,13,16,3,23.07692308,2020-03-16 08:41:38.191899
115,Maryland,US,39.06390000,-76.80210000,9,12,3,33.33333333,2020-03-16 08:41:38.191899
116,North Carolina,US,35.63010000,-79.80640000,7,15,8,114.28571429,2020-03-16 08:41:38.191899
117,South Carolina,US,33.85690000,-80.94500000,10,12,2,20.00000000,2020-03-16 08:41:38.191899
118,Tennessee,US,35.74780000,-86.69230000,9,18,9,100.00000000,2020-03-16 08:41:38.191899
119,Virginia,US,37.76930000,-78.17000000,9,17,8,88.88888889,2020-03-16 08:41:38.191899
120,Arizona,US,33.72980000,-111.43120000,9,9,0,0.00000000,2020-03-16 08:41:38.191899
121,Indiana,US,39.84940000,-86.25830000,11,13,2,18.18181818,2020-03-16 08:41:38.191899
122,Kentucky,US,37.66810000,-84.67010000,8,10,2,25.00000000,2020-03-16 08:41:38.191899
123,District of Columbia,US,38.89740000,-77.02680000,10,10,0,0.00000000,2020-03-16 08:41:38.191899
124,Nevada,US,38.31350000,-117.05540000,7,14,7,100.00000000,2020-03-16 08:41:38.191899
125,New Hampshire,US,43.45250000,-71.56390000,5,6,1,20.00000000,2020-03-16 08:41:38.191899
126,Minnesota,US,45.69450000,-93.90020000,5,9,4,80.00000000,2020-03-16 08:41:38.191899
127,Nebraska,US,41.12540000,-98.26810000,5,10,5,100.00000000,2020-03-16 08:41:38.191899
128,Ohio,US,40.38880000,-82.76490000,4,5,1,25.00000000,2020-03-16 08:41:38.191899
129,Rhode Island,US,41.68090000,-71.51180000,5,5,0,0.00000000,2020-03-16 08:41:38.191899
130,Wisconsin,US,44.26850000,-89.61650000,6,8,2,33.33333333,2020-03-16 08:41:38.191899
131,Connecticut,US,41.59780000,-72.75540000,3,5,2,66.66666667,2020-03-16 08:41:38.191899
132,Hawaii,US,21.09430000,-157.49830000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
133,Oklahoma,US,35.56530000,-96.92890000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
134,Utah,US,40.15000000,-111.86240000,3,5,2,66.66666667,2020-03-16 08:41:38.191899
135,,Burkina Faso,12.23830000,-1.56160000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
136,,Holy See,41.90290000,12.45340000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
137,,Mongolia,46.86250000,103.84670000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
138,,Panama,8.53800000,-80.78210000,8,11,3,37.50000000,2020-03-16 08:41:38.191899
139,Kansas,US,38.52660000,-96.72650000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
140,Louisiana,US,31.16950000,-91.86780000,6,19,13,216.66666667,2020-03-16 08:41:38.191899
141,Missouri,US,38.45610000,-92.28840000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
142,Vermont,US,44.04590000,-72.71070000,1,2,1,100.00000000,2020-03-16 08:41:38.191899
143,Alaska,US,61.37070000,-152.40440000,0,0,0,,2020-03-16 08:41:38.191899
144,Arkansas,US,34.96970000,-92.37310000,1,6,5,500.00000000,2020-03-16 08:41:38.191899
145,Delaware,US,39.31850000,-75.50710000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
146,Idaho,US,44.24050000,-114.47880000,0,0,0,,2020-03-16 08:41:38.191899
147,Maine,US,44.69390000,-69.38190000,0,0,0,,2020-03-16 08:41:38.191899
148,Michigan,US,43.32660000,-84.53610000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
149,Mississippi,US,32.74160000,-89.67870000,0,1,1,inf,2020-03-16 08:41:38.191899
150,Montana,US,46.92190000,-110.45440000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
151,New Mexico,US,34.84050000,-106.24850000,3,5,2,66.66666667,2020-03-16 08:41:38.191899
152,North Dakota,US,47.52890000,-99.78400000,0,1,1,inf,2020-03-16 08:41:38.191899
153,South Dakota,US,44.29980000,-99.43880000,8,8,0,0.00000000,2020-03-16 08:41:38.191899
154,West Virginia,US,38.49120000,-80.95450000,0,0,0,,2020-03-16 08:41:38.191899
155,Wyoming,US,42.75600000,-107.30250000,0,1,1,inf,2020-03-16 08:41:38.191899
156,Hubei,China,30.97560000,112.27070000,67773,67781,8,0.01180411,2020-03-16 08:41:38.191899
157,,Iran,32.00000000,53.00000000,9000,10075,1075,11.94444444,2020-03-16 08:41:38.191899
158,,"Korea, South",36.00000000,128.00000000,7755,7869,114,1.47001934,2020-03-16 08:41:38.191899
159,France,France,46.22760000,2.21370000,2281,2281,0,0.00000000,2020-03-16 08:41:38.191899
160,Guangdong,China,23.34170000,113.42440000,1356,1356,0,0.00000000,2020-03-16 08:41:38.191899
161,Henan,China,33.88200000,113.61400000,1273,1273,0,0.00000000,2020-03-16 08:41:38.191899
162,Zhejiang,China,29.18320000,120.09340000,1215,1215,0,0.00000000,2020-03-16 08:41:38.191899
163,Hunan,China,27.61040000,111.70880000,1018,1018,0,0.00000000,2020-03-16 08:41:38.191899
164,Anhui,China,31.82570000,117.22640000,990,990,0,0.00000000,2020-03-16 08:41:38.191899
165,Jiangxi,China,27.61400000,115.72210000,935,935,0,0.00000000,2020-03-16 08:41:38.191899
166,Shandong,China,36.34270000,118.14980000,760,760,0,0.00000000,2020-03-16 08:41:38.191899
167,Diamond Princess,Cruise Ship,35.44370000,139.63800000,696,696,0,0.00000000,2020-03-16 08:41:38.191899
168,Jiangsu,China,32.97110000,119.45500000,631,631,0,0.00000000,2020-03-16 08:41:38.191899
169,Chongqing,China,30.05720000,107.87400000,576,576,0,0.00000000,2020-03-16 08:41:38.191899
170,Sichuan,China,30.61710000,102.71030000,539,539,0,0.00000000,2020-03-16 08:41:38.191899
171,Heilongjiang,China,47.86200000,127.76150000,482,482,0,0.00000000,2020-03-16 08:41:38.191899
172,UK,United Kingdom,55.37810000,-3.43600000,456,456,0,0.00000000,2020-03-16 08:41:38.191899
173,Denmark,Denmark,56.26390000,9.50180000,442,615,173,39.14027149,2020-03-16 08:41:38.191899
174,Beijing,China,40.18240000,116.41420000,435,435,0,0.00000000,2020-03-16 08:41:38.191899
175,Shanghai,China,31.20200000,121.44910000,344,344,0,0.00000000,2020-03-16 08:41:38.191899
176,Hebei,China,39.54900000,116.13060000,318,318,0,0.00000000,2020-03-16 08:41:38.191899
177,Fujian,China,26.07890000,117.98740000,296,296,0,0.00000000,2020-03-16 08:41:38.191899
178,Guangxi,China,23.82980000,108.78810000,252,252,0,0.00000000,2020-03-16 08:41:38.191899
179,Shaanxi,China,35.19170000,108.87010000,245,245,0,0.00000000,2020-03-16 08:41:38.191899
180,Yunnan,China,24.97400000,101.48700000,174,174,0,0.00000000,2020-03-16 08:41:38.191899
181,Hainan,China,19.19590000,109.74530000,168,168,0,0.00000000,2020-03-16 08:41:38.191899
182,Guizhou,China,26.81540000,106.87480000,146,146,0,0.00000000,2020-03-16 08:41:38.191899
183,Tianjin,China,39.30540000,117.32300000,136,136,0,0.00000000,2020-03-16 08:41:38.191899
184,Shanxi,China,37.57770000,112.29220000,133,133,0,0.00000000,2020-03-16 08:41:38.191899
185,Gansu,China,37.80990000,101.05830000,127,127,0,0.00000000,2020-03-16 08:41:38.191899
186,Hong Kong,China,22.30000000,114.20000000,126,129,3,2.38095238,2020-03-16 08:41:38.191899
187,Liaoning,China,41.29560000,122.60850000,125,125,0,0.00000000,2020-03-16 08:41:38.191899
188,Jilin,China,43.66610000,126.19230000,93,93,0,0.00000000,2020-03-16 08:41:38.191899
189,,Czechia,49.81750000,15.47300000,91,94,3,3.29670330,2020-03-16 08:41:38.191899
190,Xinjiang,China,41.11290000,85.24010000,76,76,0,0.00000000,2020-03-16 08:41:38.191899
191,Inner Mongolia,China,44.09350000,113.94480000,75,75,0,0.00000000,2020-03-16 08:41:38.191899
192,Ningxia,China,37.26920000,106.16550000,75,75,0,0.00000000,2020-03-16 08:41:38.191899
193,,Taiwan*,23.70000000,121.00000000,48,49,1,2.08333333,2020-03-16 08:41:38.191899
194,,Vietnam,16.00000000,108.00000000,38,39,1,2.63157895,2020-03-16 08:41:38.191899
195,,Russia,60.00000000,90.00000000,20,28,8,40.00000000,2020-03-16 08:41:38.191899
196,Qinghai,China,35.74520000,95.99560000,18,18,0,0.00000000,2020-03-16 08:41:38.191899
197,Macau,China,22.16670000,113.55000000,10,10,0,0.00000000,2020-03-16 08:41:38.191899
198,,Moldova,47.41160000,28.36990000,3,3,0,0.00000000,2020-03-16 08:41:38.191899
199,,Bolivia,-16.29020000,-63.58870000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
200,Faroe Islands,Denmark,61.89260000,-6.91180000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
201,St Martin,France,18.07080000,-63.05010000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
202,,Honduras,15.20000000,-86.24190000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
203,Channel Islands,United Kingdom,49.37230000,-2.36440000,2,2,0,0.00000000,2020-03-16 08:41:38.191899
204,New Brunswick,Canada,46.56530000,-66.46190000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
205,Tibet,China,31.69270000,88.09240000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
206,,Congo (Kinshasa),-4.03830000,21.75870000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
207,,Cote d'Ivoire,7.54000000,-5.54710000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
208,Saint Barthelemy,France,17.90000000,-62.83330000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
209,,Jamaica,18.10960000,-77.29750000,1,2,1,100.00000000,2020-03-16 08:41:38.191899
210,,Reunion,-21.11510000,55.53640000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
211,,Turkey,38.96370000,35.24330000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
212,Gibraltar,United Kingdom,36.14080000,-5.35360000,1,1,0,0.00000000,2020-03-16 08:41:38.191899
213,"Kitsap, WA",US,47.64770000,-122.64130000,0,0,0,,2020-03-16 08:41:38.191899
214,"Solano, CA",US,38.31050000,-121.90180000,0,0,0,,2020-03-16 08:41:38.191899
215,"Santa Cruz, CA",US,37.04540000,-121.95800000,0,0,0,,2020-03-16 08:41:38.191899
216,"Napa, CA",US,38.50250000,-122.26540000,0,0,0,,2020-03-16 08:41:38.191899
217,"Ventura, CA",US,34.37050000,-119.13910000,0,0,0,,2020-03-16 08:41:38.191899
218,"Worcester, MA",US,42.40970000,-71.85710000,0,0,0,,2020-03-16 08:41:38.191899
219,"Gwinnett, GA",US,33.91910000,-84.01670000,0,0,0,,2020-03-16 08:41:38.191899
220,"DeKalb, GA",US,33.79560000,-84.22790000,0,0,0,,2020-03-16 08:41:38.191899
221,"Floyd, GA",US,37.54550000,-82.77790000,0,0,0,,2020-03-16 08:41:38.191899
222,"Fayette, GA",US,33.45020000,-84.48030000,0,0,0,,2020-03-16 08:41:38.191899
223,"Gregg, TX",US,32.48930000,-94.85210000,0,0,0,,2020-03-16 08:41:38.191899
224,"Monmouth, NJ",US,40.25890000,-74.12400000,0,0,0,,2020-03-16 08:41:38.191899
225,"Burlington, NJ",US,40.07120000,-74.86490000,0,0,0,,2020-03-16 08:41:38.191899
226,"Camden, NJ",US,39.92590000,-75.11960000,0,0,0,,2020-03-16 08:41:38.191899
227,"Passaic, NJ",US,40.85680000,-74.12850000,0,0,0,,2020-03-16 08:41:38.191899
228,"Union, NJ",US,40.69760000,-74.26320000,0,0,0,,2020-03-16 08:41:38.191899
229,"Eagle, CO",US,39.65530000,-106.82870000,0,0,0,,2020-03-16 08:41:38.191899
230,"Larimer, CO",US,40.69560000,-105.59430000,0,0,0,,2020-03-16 08:41:38.191899
231,"Arapahoe, CO",US,39.62030000,-104.33260000,0,0,0,,2020-03-16 08:41:38.191899
232,"Gunnison, CO",US,38.54580000,-106.92530000,0,0,0,,2020-03-16 08:41:38.191899
233,"Kane, IL",US,41.98790000,-88.40160000,0,0,0,,2020-03-16 08:41:38.191899
234,"Monroe, PA",US,41.04580000,-75.24790000,0,0,0,,2020-03-16 08:41:38.191899
235,"Philadelphia, PA",US,39.95260000,-75.16520000,0,0,0,,2020-03-16 08:41:38.191899
236,"Norfolk, VA",US,36.85080000,-76.28590000,0,0,0,,2020-03-16 08:41:38.191899
237,"Arlington, VA",US,38.88160000,-77.09100000,0,0,0,,2020-03-16 08:41:38.191899
238,"Spotsylvania, VA",US,38.20420000,-77.60780000,0,0,0,,2020-03-16 08:41:38.191899
239,"Loudoun, VA",US,39.07680000,-77.65360000,0,0,0,,2020-03-16 08:41:38.191899
240,"Prince George's, MD",US,38.78490000,-76.87210000,0,0,0,,2020-03-16 08:41:38.191899
241,"Pottawattamie, IA",US,41.39120000,-95.47780000,0,0,0,,2020-03-16 08:41:38.191899
242,"Camden, NC",US,34.24650000,-80.60700000,0,0,0,,2020-03-16 08:41:38.191899
243,"Pima, AZ",US,32.05750000,-111.66610000,0,0,0,,2020-03-16 08:41:38.191899
244,"Noble, IN",US,41.42770000,-85.35500000,0,0,0,,2020-03-16 08:41:38.191899
245,"Adams, IN",US,39.85220000,-77.28650000,0,0,0,,2020-03-16 08:41:38.191899
246,"Boone, IN",US,40.01060000,-86.49970000,0,0,0,,2020-03-16 08:41:38.191899
247,"Dane, WI",US,43.01860000,-89.54980000,0,0,0,,2020-03-16 08:41:38.191899
248,"Pierce, WI",US,44.75090000,-92.38140000,0,0,0,,2020-03-16 08:41:38.191899
249,"Cuyahoga, OH",US,41.43390000,-81.67580000,0,0,0,,2020-03-16 08:41:38.191899
250,"Weber, UT",US,41.26030000,-111.95220000,0,0,0,,2020-03-16 08:41:38.191899
251,"Bennington County, VT",US,43.02790000,-73.13500000,0,0,0,,2020-03-16 08:41:38.191899
252,"Carver County, MN",US,44.82540000,-93.78420000,0,0,0,,2020-03-16 08:41:38.191899
253,"Charlotte County, FL",US,26.89460000,-81.90980000,0,0,0,,2020-03-16 08:41:38.191899
254,"Cherokee County, GA",US,34.25150000,-84.48030000,0,0,0,,2020-03-16 08:41:38.191899
255,"Collin County, TX",US,33.17950000,-96.49300000,0,0,0,,2020-03-16 08:41:38.191899
256,"Jefferson County, KY",US,38.19380000,-85.64350000,0,0,0,,2020-03-16 08:41:38.191899
257,"Jefferson Parish, LA",US,29.64990000,-90.11210000,0,0,0,,2020-03-16 08:41:38.191899
258,"Shasta County, CA",US,40.79090000,-121.84740000,0,0,0,,2020-03-16 08:41:38.191899
259,"Spartanburg County, SC",US,34.86060000,-81.95350000,0,0,0,,2020-03-16 08:41:38.191899
260,"Harrison County, KY",US,38.43330000,-84.35420000,0,0,0,,2020-03-16 08:41:38.191899
261,"Johnson County, IA",US,41.66990000,-91.59840000,0,0,0,,2020-03-16 08:41:38.191899
262,"Berkshire County, MA",US,42.31180000,-73.18220000,0,0,0,,2020-03-16 08:41:38.191899
263,"Davidson County, TN",US,36.13430000,-86.82200000,0,0,0,,2020-03-16 08:41:38.191899
264,"Douglas County, OR",US,43.12610000,-123.24920000,0,0,0,,2020-03-16 08:41:38.191899
265,"Fresno County, CA",US,36.98590000,-119.23210000,0,0,0,,2020-03-16 08:41:38.191899
266,"Harford County, MD",US,39.58390000,-76.36370000,0,0,0,,2020-03-16 08:41:38.191899
267,"Hendricks County, IN",US,39.80650000,-86.54010000,0,0,0,,2020-03-16 08:41:38.191899
268,"Hudson County, NJ",US,40.74530000,-74.05350000,0,0,0,,2020-03-16 08:41:38.191899
269,"Johnson County, KS",US,38.84540000,-94.85210000,0,0,0,,2020-03-16 08:41:38.191899
270,"Kittitas County, WA",US,47.17500000,-120.93190000,0,0,0,,2020-03-16 08:41:38.191899
271,"Manatee County, FL",US,27.47990000,-82.34520000,0,0,0,,2020-03-16 08:41:38.191899
272,"Marion County, OR",US,44.84460000,-122.59270000,0,0,0,,2020-03-16 08:41:38.191899
273,"Okaloosa County, FL",US,30.57730000,-86.66110000,0,0,0,,2020-03-16 08:41:38.191899
274,"Polk County, GA",US,34.01320000,-85.14790000,0,0,0,,2020-03-16 08:41:38.191899
275,"Riverside County, CA",US,33.95330000,-117.39610000,0,0,0,,2020-03-16 08:41:38.191899
276,"Shelby County, TN",US,35.12690000,-89.92530000,0,0,0,,2020-03-16 08:41:38.191899
277,"St. Louis County, MO",US,38.61030000,-90.41250000,0,0,0,,2020-03-16 08:41:38.191899
278,"Suffolk County, NY",US,40.98490000,-72.61510000,0,0,0,,2020-03-16 08:41:38.191899
