,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
232,"Gunnison, CO",US,38.54580000,-106.92530000,0,0,0,,2020-03-12 22:25:28.337717
233,"Kane, IL",US,41.98790000,-88.40160000,0,0,0,,2020-03-12 22:25:28.337717
234,"Monroe, PA",US,41.04580000,-75.24790000,0,0,0,,2020-03-12 22:25:28.337717
235,"Philadelphia, PA",US,39.95260000,-75.16520000,0,0,0,,2020-03-12 22:25:28.337717
236,"Norfolk, VA",US,36.85080000,-76.28590000,0,0,0,,2020-03-12 22:25:28.337717
237,"Arlington, VA",US,38.88160000,-77.09100000,0,0,0,,2020-03-12 22:25:28.337717
238,"Spotsylvania, VA",US,38.20420000,-77.60780000,0,0,0,,2020-03-12 22:25:28.337717
239,"Loudoun, VA",US,39.07680000,-77.65360000,0,0,0,,2020-03-12 22:25:28.337717
240,"Prince George's, MD",US,38.78490000,-76.87210000,0,0,0,,2020-03-12 22:25:28.337717
241,"Pottawattamie, IA",US,41.39120000,-95.47780000,0,0,0,,2020-03-12 22:25:28.337717
242,"Camden, NC",US,34.24650000,-80.60700000,0,0,0,,2020-03-12 22:25:28.337717
243,"Pima, AZ",US,32.05750000,-111.66610000,0,0,0,,2020-03-12 22:25:28.337717
244,"Noble, IN",US,41.42770000,-85.35500000,0,0,0,,2020-03-12 22:25:28.337717
245,"Adams, IN",US,39.85220000,-77.28650000,0,0,0,,2020-03-12 22:25:28.337717
246,"Boone, IN",US,40.01060000,-86.49970000,0,0,0,,2020-03-12 22:25:28.337717
247,"Dane, WI",US,43.01860000,-89.54980000,0,0,0,,2020-03-12 22:25:28.337717
248,"Pierce, WI",US,44.75090000,-92.38140000,0,0,0,,2020-03-12 22:25:28.337717
249,"Cuyahoga, OH",US,41.43390000,-81.67580000,0,0,0,,2020-03-12 22:25:28.337717
250,"Weber, UT",US,41.26030000,-111.95220000,0,0,0,,2020-03-12 22:25:28.337717
251,"Bennington County, VT",US,43.02790000,-73.13500000,0,0,0,,2020-03-12 22:25:28.337717
252,"Carver County, MN",US,44.82540000,-93.78420000,0,0,0,,2020-03-12 22:25:28.337717
253,"Charlotte County, FL",US,26.89460000,-81.90980000,0,0,0,,2020-03-12 22:25:28.337717
254,"Cherokee County, GA",US,34.25150000,-84.48030000,0,0,0,,2020-03-12 22:25:28.337717
255,"Collin County, TX",US,33.17950000,-96.49300000,0,0,0,,2020-03-12 22:25:28.337717
256,"Jefferson County, KY",US,38.19380000,-85.64350000,0,0,0,,2020-03-12 22:25:28.337717
257,"Jefferson Parish, LA",US,29.64990000,-90.11210000,0,0,0,,2020-03-12 22:25:28.337717
258,"Shasta County, CA",US,40.79090000,-121.84740000,0,0,0,,2020-03-12 22:25:28.337717
259,"Spartanburg County, SC",US,34.86060000,-81.95350000,0,0,0,,2020-03-12 22:25:28.337717
260,"Harrison County, KY",US,38.43330000,-84.35420000,0,0,0,,2020-03-12 22:25:28.337717
261,"Johnson County, IA",US,41.66990000,-91.59840000,0,0,0,,2020-03-12 22:25:28.337717
262,"Berkshire County, MA",US,42.31180000,-73.18220000,0,0,0,,2020-03-12 22:25:28.337717
263,"Davidson County, TN",US,36.13430000,-86.82200000,0,0,0,,2020-03-12 22:25:28.337717
264,"Douglas County, OR",US,43.12610000,-123.24920000,0,0,0,,2020-03-12 22:25:28.337717
265,"Fresno County, CA",US,36.98590000,-119.23210000,0,0,0,,2020-03-12 22:25:28.337717
266,"Harford County, MD",US,39.58390000,-76.36370000,0,0,0,,2020-03-12 22:25:28.337717
267,"Hendricks County, IN",US,39.80650000,-86.54010000,0,0,0,,2020-03-12 22:25:28.337717
268,"Hudson County, NJ",US,40.74530000,-74.05350000,0,0,0,,2020-03-12 22:25:28.337717
269,"Johnson County, KS",US,38.84540000,-94.85210000,0,0,0,,2020-03-12 22:25:28.337717
270,"Kittitas County, WA",US,47.17500000,-120.93190000,0,0,0,,2020-03-12 22:25:28.337717
271,"Manatee County, FL",US,27.47990000,-82.34520000,0,0,0,,2020-03-12 22:25:28.337717
272,"Marion County, OR",US,44.84460000,-122.59270000,0,0,0,,2020-03-12 22:25:28.337717
273,"Okaloosa County, FL",US,30.57730000,-86.66110000,0,0,0,,2020-03-12 22:25:28.337717
274,"Polk County, GA",US,34.01320000,-85.14790000,0,0,0,,2020-03-12 22:25:28.337717
275,"Riverside County, CA",US,33.95330000,-117.39610000,0,0,0,,2020-03-12 22:25:28.337717
276,"Shelby County, TN",US,35.12690000,-89.92530000,0,0,0,,2020-03-12 22:25:28.337717
277,"St. Louis County, MO",US,38.61030000,-90.41250000,0,0,0,,2020-03-12 22:25:28.337717
278,"Suffolk County, NY",US,40.98490000,-72.61510000,0,0,0,,2020-03-12 22:25:28.337717
279,"Ulster County, NY",US,41.85860000,-74.31180000,0,0,0,,2020-03-12 22:25:28.337717
280,"Volusia County, FL",US,29.02800000,-81.07550000,0,0,0,,2020-03-12 22:25:28.337717
281,"Fairfax County, VA",US,38.90850000,-77.24050000,0,0,0,,2020-03-12 22:25:28.337717
282,"Rockingham County, NH",US,42.99310000,-71.04980000,0,0,0,,2020-03-12 22:25:28.337717
283,"Washington, D.C.",US,38.90720000,-77.03690000,0,0,0,,2020-03-12 22:25:28.337717
284,"Montgomery County, PA",US,40.22900000,-75.38790000,0,0,0,,2020-03-12 22:25:28.337717
285,"Alameda County, CA",US,37.60170000,-121.71950000,0,0,0,,2020-03-12 22:25:28.337717
286,"Broward County, FL",US,26.19010000,-80.36590000,0,0,0,,2020-03-12 22:25:28.337717
287,"Lee County, FL",US,26.66300000,-81.95350000,0,0,0,,2020-03-12 22:25:28.337717
288,"Pinal County, AZ",US,32.81620000,-111.28450000,0,0,0,,2020-03-12 22:25:28.337717
289,"Rockland County, NY",US,41.14890000,-73.98300000,0,0,0,,2020-03-12 22:25:28.337717
290,"Saratoga County, NY",US,43.03240000,-73.93600000,0,0,0,,2020-03-12 22:25:28.337717
291,"Charleston County, SC",US,32.79570000,-79.78480000,0,0,0,,2020-03-12 22:25:28.337717
292,"Clark County, WA",US,45.74660000,-122.51940000,0,0,0,,2020-03-12 22:25:28.337717
293,"Cobb County, GA",US,33.89990000,-84.56410000,0,0,0,,2020-03-12 22:25:28.337717
294,"Davis County, UT",US,40.96290000,-112.09530000,0,0,0,,2020-03-12 22:25:28.337717
295,"El Paso County, CO",US,38.91080000,-104.47230000,0,0,0,,2020-03-12 22:25:28.337717
296,"Honolulu County, HI",US,21.30700000,-157.85840000,0,0,0,,2020-03-12 22:25:28.337717
297,"Jackson County, OR ",US,42.33450000,-122.76470000,0,0,0,,2020-03-12 22:25:28.337717
298,"Jefferson County, WA",US,47.74250000,-123.30400000,0,0,0,,2020-03-12 22:25:28.337717
299,"Kershaw County, SC",US,34.36720000,-80.58830000,0,0,0,,2020-03-12 22:25:28.337717
300,"Klamath County, OR",US,42.69530000,-121.61420000,0,0,0,,2020-03-12 22:25:28.337717
301,"Madera County, CA",US,37.25190000,-119.69630000,0,0,0,,2020-03-12 22:25:28.337717
302,"Pierce County, WA",US,47.06760000,-122.12950000,0,0,0,,2020-03-12 22:25:28.337717
303,"Tulsa County, OK",US,36.15930000,-95.94100000,0,0,0,,2020-03-12 22:25:28.337717
304,"Douglas County, CO",US,39.25870000,-104.93890000,0,0,0,,2020-03-12 22:25:28.337717
305,"Providence County, RI",US,41.88820000,-71.47740000,0,0,0,,2020-03-12 22:25:28.337717
306,"Chatham County, NC",US,35.72110000,-79.17810000,0,0,0,,2020-03-12 22:25:28.337717
307,"Delaware County, PA",US,39.90780000,-75.38790000,0,0,0,,2020-03-12 22:25:28.337717
308,"Douglas County, NE",US,41.31480000,-96.19510000,0,0,0,,2020-03-12 22:25:28.337717
309,"Fayette County, KY",US,38.06060000,-84.48030000,0,0,0,,2020-03-12 22:25:28.337717
