date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,is_country,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Colorado,39.550051,-105.782067,True,,,,,,,,,,,,,,,,,,,,CO,1,0,Colo.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,EST,Estonia,Estonia,,58.595,25.014,True,True,True,,JHU issue,2,,0001-03-04,True,,,Estonia,,,,,,,,Estonia,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,EGY,Egypt,Egypt,,26.821,30.802,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,0001-03-03,True,True,True,Egypt,,,,,,,,Egypt,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,HUN,Hungary,,,47.162,19.503,True,True,True,,JHU issue,2,,0001-03-04,True,,,,,,,,,,,,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,IDN,Indonesia,Indonesia,,-0.789,113.921,True,True,True,,JHU issue. Pls keep,2,,0001-03-05,True,True,True,Indonesia,,,,,,,,Indonesia,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Arizona,34.048928,-111.093731,True,,,,,,,,,,,,,,,,,,,,AZ,2,0,Ariz.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Massachusetts,42.138477,-69.3,True,,,,,,,,,,,,,,,,,,,,MA,2,0,Mass.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Oregon,43.804133,-120.554201,True,,,,,,,,,,,,,,,,,,,,OR,2,0,Ore.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Rhode Island,39.6,-71.64,True,,,,,,,,,,,,,,,,,,,,RI,2,0,R.I.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,New Hampshire,43.193852,-71.572395,True,,,,,,,,,,,,,,,,,,,,NH,2,0,N.H.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Georgia,32.157435,-82.907123,True,,,,,,,,,,,,,,,,,,,,GA,2,0,Ga.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,New Jersey,40.058324,-74.405661,True,,,,,,,,,,,,,,,,,,,,NJ,2,0,N.J.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Maryland,39.045755,-76.641271,True,,,,,,,,,,,,,,,,,,,,MD,3,0,Md.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,BRA,Brazil,Brazil,,-14.235,-51.925,True,True,True,,,,,,True,True,True,Brazil,,,,,,,,Brazil,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHL,Chile,Chile,,-35.675,-71.543,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,,,Chile,,,,,,,,Chile,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,GEO,Georgia,Georgia,,42.315,43.357,True,True,True,,,,,,True,,,Georgia,,,,,,,,Georgia,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,NZL,New Zealand,New Zealand,,-44.63,168.376,True,True,True,,JHU dashboard,3,,0001-03-05,True,True,True,New Zealand,top,,,,,,,New Zealand,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,RUS,Russia,Russia,,61.524,105.319,True,True,True,,,,,,True,True,True,Russia,,,,,,,,Russia,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SEN,Senegal,Senegal,,14.497,-14.452,True,True,True,,,,,,True,,,Senegal,,,,,,,,Senegal,,4,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Florida,27.664827,-81.515754,True,,,,,,,,,,,,,,,,,,,,FL,4,0,Fla.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,GUF,French Guiana,French Guiana,,3.934,-53.126,True,True,False,,Julie Turkewitz: http//www.facebook.com/notes/pr%C3%A9fet-de-la-r%C3%A9gion-guyane/coronavirus-guyane-5-premiers-cas-av%C3%A9r%C3%A9s-%C3%A0-saint-laurent-du-maroni/2677235635678779/,5,,0001-03-04,True,,,French Guiana,,,,,,,,French Guiana,,5,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MEX,Mexico,Mexico,,23.635,-102.553,True,True,True,,,,,,True,True,True,Mexico,right,,,,,,,Mexico,,5,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,PAK,Pakistan,Pakistan,,30.375,69.345,True,True,True,,,,,,True,,,Pakistan,,,,,,,,Pakistan,,5,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SAU,Saudi Arabia,Saudi Arabia,,23.886,45.079,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Saudi Arabia,,,,,,,,Saudi Arabia,,5,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Illinois,40.633125,-89.398528,True,,,,,,,,,,,,,,,,,,,,IL,5,0,Ill.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,AZE,Azerbaijan,Azerbaijan,,40.143,47.577,True,True,True,,,,,,True,,,Azerbaijan,,,,,,,,Azerbaijan,,6,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,BLR,Belarus,Belarus,,53.71,27.953,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Belarus,,,,,,,,Belarus,,6,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,IRL,Ireland,Ireland,,53.413,-8.244,True,True,True,,,,,,True,,,Ireland,,,,,,,,Ireland,,6,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ROU,Romania,Romania,,45.943,24.967,True,True,True,,,,,,True,,,Romania,,,,,,,,Romania,,6,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,PSE,"Palestinian Territory, Occupied",,,31.952,35.233,True,True,False,,Local reports,7,,0001-03-05,,,,,,,,,,,,,,7,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,South Australia,-34.93,138.61,True,,,,,,,,,,,Australia,,,,,,,,South Australia (Australia),,7,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,QAT,Qatar,Qatar,,25.343,50.657,True,True,True,,,,,,True,,,Qatar,,,,,,,,Qatar,,8,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,PRT,Portugal,Portugal,,39.4,-8.224,True,True,True,,,,,,True,,,Portugal,,,,,,,,Portugal,,8,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,DNK,Denmark,Denmark,,56.264,9.502,True,True,True,,,,,,True,,,Denmark,,,,,,,,Denmark,,10,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,HRV,Croatia,Croatia,,45.1,15.2,True,True,True,,,,,,True,,,Croatia,,,,,,,,Croatia,,10,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MAC,Macau,Macau,Macau,22.199,113.544,True,True,False,,,,,,True,,,Macau,,,,,,,,Macau (Macau),,10,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,Victoria,-36.56,143.25,True,,,,,,,,,,,Australia,,,,,,,,Victoria (Australia),,10,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CZE,Czech Republic,Czech Republic,,49.817,15.473,True,True,True,,,,,,True,,,Czech Republic,,,,,Czechia,,,Czech Republic,,12,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,FIN,Finland,Finland,,61.924,25.748,True,True,True,,,,,,True,,,Finland,,,,,,,,Finland,,12,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ECU,Ecuador,Ecuador,,-1.831,-78.183,True,True,True,,,,,,True,,,Ecuador,,,,,,,,Ecuador,,13,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,Queensland,-20.918,142.703,True,,,,,,,,,,,Australia,,,,,,,,Queensland (Australia),,13,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,,Canada,British Columbia,54.84,-125.1,True,,,,,,,,,,,Canada,,,,,,,,British Columbia (Canada),,13,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Nebraska,41.492537,-99.901813,True,,,,,,,,,,,,,,,,,,,,NE,13,0,Neb.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Texas,31.968599,-99.901813,True,,,,,,,,,,,,,,,,,,,,TX,14,0,Texas,US
Thu Mar  5 20:52:07 PST 2020,1583470327,ISR,Israel,Israel,,33,34.85,True,True,True,,,,,,True,True,True,Israel,,,,,,,,Israel,,16,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LBN,Lebanon,Lebanon,,33.855,35.862,True,True,True,,,,,,True,,,Lebanon,,,,,,,,Lebanon,,16,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,OMN,Oman,Oman,,21.513,55.923,True,True,True,,,,,,True,,,Oman,,,,,,,,Oman,,16,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,VNM,Vietnam,Vietnam,,14.058,108.277,True,True,True,,,,,,True,,,Vietnam,right,,,,,,,Vietnam,,16,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,DZA,Algeria,Algeria,,28.034,1.66,True,True,True,,,,,,True,True,True,Algeria,,,,,,,,Algeria,,17,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Qinghai,35.39,93.99,True,,,,,,,,,,,Mainland China,,,,,,,,Qinghai (Mainland China),,18,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SMR,San Marino,San Marino,,43.942,12.458,True,True,True,,,,,,True,,,San Marino,,,,,,,,San Marino,,21,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,,Canada,"Toronto, ON",51.4,-87.12,True,,,,,,,,,,,Canada,,,,,,,,"Toronto, ON (Canada)",,21,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,New York,43,-75.12,True,,,,,,,,,,,,,,,,,,,,NY,22,0,N.Y.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,New South Wales,-32.74,145.56,True,,,,,,,,,,,Australia,,,,,,,,New South Wales (Australia),,26,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ARE,United Arab Emirates,United Arab Emirates,,23.424,53.848,True,True,True,,,,,,True,,,United Arab Emirates,,,,,UAE,,,United Arab Emirates,,29,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,IND,India,India,,20.594,78.963,True,True,True,,,,,,True,True,True,India,top,,,,,,,India,,30,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,GRC,Greece,Greece,,39.074,21.824,True,True,True,,Reuters,31,,0001-03-05,True,,,Greece,,,,,,,,Greece,,31,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ISL,Iceland,Iceland,,64.963,-19.021,True,True,True,,,,,,True,True,True,Iceland,top,,,,,,,Iceland,,34,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,IRQ,Iraq,Iraq,,33.223,43.679,True,True,True,,,,,,True,,,Iraq,,,,,,,,Iraq,,35,2,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUT,Austria,Austria,,47.516,14.55,True,True,True,,,,,,True,,,Austria,,,,,,,,Austria,,43,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,TWN,Taiwan,Taiwan,Taiwan,23.698,120.961,True,True,False,,,,,,True,,,Taiwan,top,,,,,,,Taiwan (Taiwan),,44,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,THA,Thailand,Thailand,,15.87,100.993,True,True,True,,,,,,True,,,Thailand,top,,,,,,,Thailand,,47,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,BEL,Belgium,Belgium,,50.504,4.47,True,True,True,,,,,,True,,,Belgium,,,,,,,,Belgium,,50,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MYS,Malaysia,Malaysia,,4.21,101.976,True,True,True,,,,,,True,,,Malaysia,right,True,,,,,,Malaysia,,50,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,BHR,Bahrain,Bahrain,,25.93,50.638,True,True,True,,,,,,True,,,Bahrain,,,,,,,,Bahrain,,55,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,KWT,Kuwait,Kuwait,,29.312,47.482,True,True,True,,,,,,True,,,Kuwait,,,,,,,,Kuwait,,58,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,California,36.778261,-119.417932,True,,,,,,,,,,,,,,,,,,,,CA,60,1,Calif.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Inner Mongolia,43.61,113.35,True,,,,,,,,,,,Mainland China,,,,,,,,Inner Mongolia (Mainland China),,75,1,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Ningxia,37.3,104.85,True,,,,,,,,,,,Mainland China,,,,,,,,Ningxia (Mainland China),,75,0,,
