date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Massachusetts,42.138477,-69.3,True,,,,,,,,,,,,,,,,,,,MA,8,0,Mass.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,ROU,Romania,Romania,,45.943,24.967,True,True,True,,,,,,,,Romania,,,,,,,,Romania,,9,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,EST,Estonia,Estonia,,58.595,25.014,True,True,True,,JHU issue,3,,Mar. 6,,,Estonia,,,,,,,,Estonia,,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,MAC,Macau,Macau,Macau,22.199,113.544,True,True,False,,,,,,,,Macau,,,,,,,,Macau (Macau),,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,Victoria,-36.56,143.25,True,,,,,,,,,,Australia,,,,,,,,Victoria (Australia),,10,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,HRV,Croatia,Croatia,,45.1,15.2,True,True,True,,,,,,,,Croatia,,,,,,,,Croatia,,11,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BRA,Brazil,Brazil,,-14.235,-51.925,True,True,True,,JHU,4,,Mar. 6,True,True,Brazil,,,,,,,,Brazil,,13,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,ECU,Ecuador,Ecuador,,-1.831,-78.183,True,True,True,,,,,,,,Ecuador,,,,,,,,Ecuador,,13,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,RUS,Russia,Russia,,61.524,105.319,True,True,True,,,,,,True,True,Russia,,,,,,,,Russia,,13,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,PRT,Portugal,Portugal,,39.4,-8.224,True,True,True,,,,,,,,Portugal,,,,,,,,Portugal,,13,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,AUS,,Australia,Queensland,-20.918,142.703,True,,,,,,,,,,Australia,,,,,,,,Queensland (Australia),,13,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Nebraska,41.492537,-99.901813,True,,,,,,,,,,,,,,,,,,,NE,14,0,Neb.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,EGY,Egypt,Egypt,,26.821,30.802,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",3,,Mar. 6,True,True,Egypt,,,,,,,,Egypt,,15,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,FIN,Finland,Finland,,61.924,25.748,True,True,True,,,,,,,,Finland,,,,,,,,Finland,,15,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,OMN,Oman,Oman,,21.513,55.923,True,True,True,,,,,,,,Oman,,,,,,,,Oman,,16,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,PSE,West Bank and Gaza,Palestine,,31.952,35.233,True,True,False,,https://www.jpost.com/Israel-News/Palestinian-Authority-reports-multiple-suspected-coronavirus-cases-619845,7,,Mar. 5,,,Palestine,,,,,,,,Palestine,,16,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,VNM,Vietnam,Vietnam,,14.058,108.277,True,True,True,,,,,,,,Vietnam,right,,,,,,,Vietnam,,16,0,,
