date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,MLT,Malta,35.937,14.375,Malta,,True,True,True,,JHU issue,3,,0001-03-08,,Malta,Malta,,,,,,,,,Malta,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,SVK,Slovakia,48.669,19.699,Slovakia,,True,True,True,,JHU,3,,0001-03-08,,Slovakia,Slovakia,,,,,,,,,Slovakia,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,ZAF,South Africa,-30.559,22.938,South Africa,,True,True,True,,JHU issue,3,,0001-03-08,,South Africa,South Africa,True,True,,,,,,,South Africa,3,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AFG,Afghanistan,33.939,67.71,Afghanistan,,True,True,True,,JHU issue. Pls keep it,4,,0001-03-08,,Afghanistan,Afghanistan,,,,,,,,,Afghanistan,4,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,BGR,Bulgaria,42.734,25.486,Bulgaria,,True,True,True,,JHU issue,4,,0001-03-08,,Bulgaria,Bulgaria,,,,,,,,,Bulgaria,4,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,MDV,Maldives,3.203,73.221,,,True,True,True,,JHU issue,4,,0001-03-08,,Maldives,Maldives,,,,,,,,,,4,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,SEN,Senegal,14.497,-14.452,Senegal,,True,True,True,,JHU issue. keep,4,,0001-03-08,,Senegal,Senegal,,,,,,,,,Senegal,4,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CRI,Costa Rica,9.749,-83.753,Costa Rica,,True,True,True,,JHU issue,5,,0001-03-08,,Costa Rica,Costa Rica,,,,,,,,,Costa Rica,5,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,DOM,Dominican Rep.,18.736,-70.163,Dominican Republic,,True,True,True,,JHU issue,5,,0001-03-08,,Dominican Rep.,Dominican Rep.,,,,,,,,,Dominican Republic,5,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,NZL,New Zealand,-44.63,168.376,New Zealand,,True,True,True,,JHU issue,5,,0001-03-07,,New Zealand,New Zealand,True,True,top,,,,,,New Zealand,5,0,0
