date2,unixtime,nyt_id,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_country_region,jhu_state_province,override_count_,override_deaths_,label,confirmed,deaths,recovered
Tue Mar 10 21:41:11 PDT 2020,1583901671,278,AUS,,-36.56,143.25,Australia,Victoria,True,,,,,,,,,,,,,,,,,,,Australia,Victoria,,,Victoria (Australia),18,0,7
Tue Mar 10 21:41:11 PDT 2020,1583901671,10,ARG,Argentina,-38.416,-63.617,Argentina,,True,True,True,,,,,,,Argentina,Argentina,True,True,,,,,,,Argentina,,,,Argentina,19,1,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,57,DZA,Algeria,28.034,1.66,Algeria,,True,True,True,,,,,,,Algeria,Algeria,True,True,,,,,,,Algeria,,,,Algeria,20,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,177,RUS,Russia,61.524,105.319,Russia,,True,True,True,,JHU issue,20,,0001-03-10,,Russia,Russia,True,True,,,,,,,Russia,,,,Russia,20,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,237,SAU,Saudi Arabia,23.886,45.079,Saudi Arabia,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Saudi Arabia,Saudi Arabia,,,,,,,,,Saudi Arabia,,,,Saudi Arabia,20,0,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,242,POL,Poland,51.919,19.145,Poland,,True,True,True,,JHU issue,5,,0001-03-07,,Poland,Poland,,,,,,,,,Poland,,,,Poland,22,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,173,QAT,Qatar,25.343,50.657,Qatar,,True,True,True,,,,,,,Qatar,Qatar,,,,,,,,,Qatar,,,,Qatar,24,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,170,PSE,West Bank & Gaza,31.952,35.233,occupied Palestinian territory,,True,True,False,,,,,,,West Bank & Gaza,West Bank & Gaza,,,,,,,,,occupied Palestinian territory,,,,occupied Palestinian territory,25,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,175,ROU,Romania,45.943,24.967,Romania,,True,True,True,,,,,,,Romania,Romania,,,,,,,,,Romania,,,,Romania,25,0,3
Tue Mar 10 21:41:11 PDT 2020,1583901671,231,IDN,Indonesia,-0.789,113.921,Indonesia,,True,True,True,,JHU issue. Pls keep,,,0001-03-08,,Indonesia,Indonesia,,True,,,,,,,Indonesia,,,,Indonesia,27,0,2
