date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,is_country,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Thu Mar  5 13:50:48 PST 2020,1583445048,NPL,Nepal,Nepal,,28.395,84.124,True,True,,JHU dashboard but not sheet,1,,0001-03-03,,,Nepal,left,,,,,,,Nepal,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SVN,Slovenia,,,46.151,14.995,True,True,,JHU table,1,,0001-03-05,,,,,,,,,,,,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,UKR,Ukraine,Ukraine,,48.379,31.166,True,True,,JHU table,1,,,,,Ukraine,,,,,,,,Ukraine,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AND,Andorra,Andorra,,42.549,1.585,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Andorra,,,,,,,,Andorra,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,LVA,Latvia,Latvia,,56.88,24.603,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Latvia,,,,,,,,Latvia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SAU,Saudi Arabia,Saudi Arabia,,23.886,45.079,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Saudi Arabia,,,,,,,,Saudi Arabia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,GIB,Gibraltar,Gibraltar,,36.138,-5.345,True,True,,https://twitter.com/GBCNewsroom/status/1234774651601063937,1,,0001-03-03,,,Gibraltar,,,,,,,,Gibraltar,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MAR,Morocco,Morocco,,31.792,-7.093,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Morocco,,,,,,,,Morocco,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,TUN,Tunisia,Tunisia,,33.887,9.537,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Tunisia,,,,,,,,Tunisia,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,LIE,Liechtenstein,Liechtenstein,,47.166,9.555,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Liechtenstein,,,,,,,,Liechtenstein,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,POL,Poland,Poland,,51.919,19.145,True,True,,JHU issue,1,,0001-03-04,,,Poland,,,,,,,,Poland,,1,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Wisconsin,43.78444,-88.787868,True,,,,,,,,,,,,,,,,,,WI,1,0,Wis.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Utah,39.32098,-111.093731,True,,,,,,,,,,,,,,,,,,UT,1,0,Utah,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,North Carolina,35.759573,-79.0193,True,,,,,,,,,,,,,,,,,,NC,1,0,N.C.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,New Jersey,40.058324,-74.405661,True,,,,,,,,,,,,,,,,,,NJ,1,0,N.J.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,EST,Estonia,Estonia,,58.595,25.014,True,True,,JHU issue,2,,0001-03-04,,,Estonia,,,,,,,,Estonia,,2,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,HUN,Hungary,,,47.162,19.503,True,True,,JHU issue,2,,0001-03-04,,,,,,,,,,,,,2,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,IDN,Indonesia,Indonesia,,-0.789,113.921,True,True,,JHU issue. Pls keep,2,,0001-03-05,True,True,Indonesia,,,,,,,,Indonesia,,2,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Arizona,34.048928,-111.093731,True,,,,,,,,,,,,,,,,,,AZ,2,0,Ariz.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Massachusetts,42.138477,-69.3,True,,,,,,,,,,,,,,,,,,MA,2,0,Mass.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Oregon,43.804133,-120.554201,True,,,,,,,,,,,,,,,,,,OR,2,0,Ore.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Rhode Island,39.6,-71.64,True,,,,,,,,,,,,,,,,,,RI,2,0,R.I.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,New Hampshire,43.193852,-71.572395,True,,,,,,,,,,,,,,,,,,NH,2,0,N.H.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Georgia,32.157435,-82.907123,True,,,,,,,,,,,,,,,,,,GA,2,0,Ga.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,EGY,Egypt,Egypt,,26.821,30.802,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,0001-03-03,True,True,Egypt,,,,,,,,Egypt,,3,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,NZL,New Zealand,New Zealand,,-44.63,168.376,True,True,,,,,,True,True,New Zealand,top,,,,,,,New Zealand,,3,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,PHL,Philippines,Philippines,,12.88,121.774,True,True,,,,,,,,Philippines,right,True,,,,,,Philippines,,3,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,BLM,Saint-Barthélemy,Saint Barthelemy,,17.898,-62.825,True,True,,,,,,,,Saint Barthelemy,,,,,St. Barts,,,Saint Barthelemy,,3,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Florida,27.664827,-81.515754,True,,,,,,,,,,,,,,,,,,FL,3,0,Fla.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,BRA,Brazil,Brazil,,-14.235,-51.925,True,True,,,,,,True,True,Brazil,,,,,,,,Brazil,,4,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,GEO,Georgia,Georgia,,42.315,43.357,True,True,,,,,,,,Georgia,,,,,,,,Georgia,,4,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,RUS,Russia,Russia,,61.524,105.319,True,True,,,,,,True,True,Russia,,,,,,,,Russia,,4,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SEN,Senegal,Senegal,,14.497,-14.452,True,True,,,,,,,,Senegal,,,,,,,,Senegal,,4,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Illinois,40.633125,-89.398528,True,,,,,,,,,,,,,,,,,,IL,4,0,Ill.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,GUF,French Guiana,French Guiana,,3.934,-53.126,True,True,,Julie Turkewitz: http//www.facebook.com/notes/pr%C3%A9fet-de-la-r%C3%A9gion-guyane/coronavirus-guyane-5-premiers-cas-av%C3%A9r%C3%A9s-%C3%A0-saint-laurent-du-maroni/2677235635678779/,5,,0001-03-04,,,French Guiana,,,,,,,,French Guiana,,5,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MEX,Mexico,Mexico,,23.635,-102.553,True,True,,,,,,True,True,Mexico,right,,,,,,,Mexico,,5,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,PAK,Pakistan,Pakistan,,30.375,69.345,True,True,,,,,,,,Pakistan,,,,,,,,Pakistan,,5,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,South Australia,-34.93,138.61,True,,,,,,,,,Australia,,,,,,,,South Australia (Australia),,5,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AZE,Azerbaijan,Azerbaijan,,40.143,47.577,True,True,,,,,,,,Azerbaijan,,,,,,,,Azerbaijan,,6,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,BLR,Belarus,Belarus,,53.71,27.953,True,True,,JH dashboard but not sheet,1,,0001-03-03,,,Belarus,,,,,,,,Belarus,,6,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,IRL,Ireland,Ireland,,53.413,-8.244,True,True,,,,,,,,Ireland,,,,,,,,Ireland,,6,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ROU,Romania,Romania,,45.943,24.967,True,True,,,,,,,,Romania,,,,,,,,Romania,,6,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CZE,Czech Republic,Czech Republic,,49.817,15.473,True,True,,,,,,,,Czech Republic,,,,,Czechia,,,Czech Republic,,8,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,QAT,Qatar,Qatar,,25.343,50.657,True,True,,,,,,,,Qatar,,,,,,,,Qatar,,8,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,PRT,Portugal,Portugal,,39.4,-8.224,True,True,,,,,,,,Portugal,,,,,,,,Portugal,,8,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,DNK,Denmark,Denmark,,56.264,9.502,True,True,,,,,,,,Denmark,,,,,,,,Denmark,,10,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ECU,Ecuador,Ecuador,,-1.831,-78.183,True,True,,,,,,,,Ecuador,,,,,,,,Ecuador,,10,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,HRV,Croatia,Croatia,,45.1,15.2,True,True,,,,,,,,Croatia,,,,,,,,Croatia,,10,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MAC,Macau,Macau,Macau,22.199,113.544,True,True,,,,,,,,Macau,,,,,,,,Macau (Macau),,10,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,Victoria,-36.56,143.25,True,,,,,,,,,Australia,,,,,,,,Victoria (Australia),,10,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,Queensland,-20.918,142.703,True,,,,,,,,,Australia,,,,,,,,Queensland (Australia),,11,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,DZA,Algeria,Algeria,,28.034,1.66,True,True,,,,,,True,True,Algeria,,,,,,,,Algeria,,12,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,FIN,Finland,Finland,,61.924,25.748,True,True,,,,,,,,Finland,,,,,,,,Finland,,12,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Texas,31.968599,-99.901813,True,,,,,,,,,,,,,,,,,,TX,12,0,Texas,US
Thu Mar  5 13:50:48 PST 2020,1583445048,LBN,Lebanon,Lebanon,,33.855,35.862,True,True,,,,,,,,Lebanon,,,,,,,,Lebanon,,13,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,,Canada,British Columbia,54.84,-125.1,True,,,,,,,,,Canada,,,,,,,,British Columbia (Canada),,13,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Nebraska,41.492537,-99.901813,True,,,,,,,,,,,,,,,,,,NE,13,0,Neb.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,New York,43,-75.12,True,,,,,,,,,,,,,,,,,,NY,13,0,N.Y.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,ISR,Israel,Israel,,33,34.85,True,True,,,,,,True,True,Israel,,,,,,,,Israel,,15,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,OMN,Oman,Oman,,21.513,55.923,True,True,,,,,,,,Oman,,,,,,,,Oman,,15,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,VNM,Vietnam,Vietnam,,14.058,108.277,True,True,,,,,,,,Vietnam,right,,,,,,,Vietnam,,16,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Qinghai,35.39,93.99,True,,,,,,,,,Mainland China,,,,,,,,Qinghai (Mainland China),,18,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CAN,,Canada,"Toronto, ON",51.4,-87.12,True,,,,,,,,,Canada,,,,,,,,"Toronto, ON (Canada)",,19,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SMR,San Marino,San Marino,,43.942,12.458,True,True,,,,,,,,San Marino,,,,,,,,San Marino,,21,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUS,,Australia,New South Wales,-32.74,145.56,True,,,,,,,,,Australia,,,,,,,,New South Wales (Australia),,22,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ARE,United Arab Emirates,United Arab Emirates,,23.424,53.848,True,True,,,,,,,,United Arab Emirates,,,,,UAE,,,United Arab Emirates,,28,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,IND,India,India,,20.594,78.963,True,True,,,,,,True,True,India,top,,,,,,,India,,30,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,GRC,Greece,Greece,,39.074,21.824,True,True,,Reuters,31,,0001-03-05,,,Greece,,,,,,,,Greece,,31,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ISL,Iceland,Iceland,,64.963,-19.021,True,True,,,,,,True,True,Iceland,top,,,,,,,Iceland,,34,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,IRQ,Iraq,Iraq,,33.223,43.679,True,True,,,,,,,,Iraq,,,,,,,,Iraq,,35,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,AUT,Austria,Austria,,47.516,14.55,True,True,,,,,,,,Austria,,,,,,,,Austria,,37,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,TWN,Taiwan,Taiwan,Taiwan,23.698,120.961,True,True,,,,,,,,Taiwan,top,,,,,,,Taiwan (Taiwan),,44,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,Washington,46.751074,-120.740139,True,,,,,,,,,,,,,,,,,,WA,45,10,Wash.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,THA,Thailand,Thailand,,15.87,100.993,True,True,,,,,,,,Thailand,top,,,,,,,Thailand,,47,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,BEL,Belgium,Belgium,,50.504,4.47,True,True,,,,,,,,Belgium,,,,,,,,Belgium,,50,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,MYS,Malaysia,Malaysia,,4.21,101.976,True,True,,,,,,,,Malaysia,right,True,,,,,,Malaysia,,50,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,USA,,US,California,36.778261,-119.417932,True,,,,,,,,,,,,,,,,,,CA,54,1,Calif.,US
Thu Mar  5 13:50:48 PST 2020,1583445048,BHR,Bahrain,Bahrain,,25.93,50.638,True,True,,,,,,,,Bahrain,,,,,,,,Bahrain,,55,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,KWT,Kuwait,Kuwait,,29.312,47.482,True,True,,,,,,,,Kuwait,,,,,,,,Kuwait,,58,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SWE,Sweden,Sweden,,60.128,18.644,True,True,,,,,,,,Sweden,,,,,,,,Sweden,,60,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,NOR,Norway,Norway,,60.472,8.469,True,True,,,,,,,,Norway,,,True,,,,,Norway,,72,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Inner Mongolia,43.61,113.35,True,,,,,,,,,Mainland China,,,,,,,,Inner Mongolia (Mainland China),,75,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Ningxia,37.3,104.85,True,,,,,,,,,Mainland China,,,,,,,,Ningxia (Mainland China),,75,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Xinjiang,40.06,87.7,True,,,,,,,,,Mainland China,,,,,,,,Xinjiang (Mainland China),,76,3,,
Thu Mar  5 13:50:48 PST 2020,1583445048,NLD,Netherlands,Netherlands,,52.133,5.291,True,True,,https://twitter.com/GertvanderHoek/status/1235578413198475264?s=20,82,,0001-03-05,,,Netherlands,,,,,,,,Netherlands,,82,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,GBR,UK,UK,,55.378,-3.436,True,True,,,,,,True,True,UK,,,True,,,the United Kingdom,,UK,,90,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Gansu,40.39,96.81,True,,,,,,,,,Mainland China,,,,,,,,Gansu (Mainland China),,91,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Jilin,43.85,126.5,True,,,,,,,,,Mainland China,,,,,,,,Jilin (Mainland China),,93,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHE,Switzerland,Switzerland,,46.818,8.228,True,True,,,,,,,,Switzerland,,,,,,,,Switzerland,,95,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,HKG,Hong Kong,Hong Kong,Hong Kong,22.396,114.109,True,True,1,,,,,,,Hong Kong,,,,,,,,Hong Kong (Hong Kong),,105,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,SGP,Singapore,Singapore,,1.352,103.82,True,True,,,,,,True,True,Singapore,right,,,,,,,Singapore,,117,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Liaoning,41.3,121.9,True,,,,,,,,,Mainland China,,,,,,,,Liaoning (Mainland China),,125,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Shanxi,37.64,110.15,True,,,,,,,,,Mainland China,,,,,,,,Shanxi (Mainland China),,133,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Tianjin,39.13,117.01,True,,,,,,,,,Mainland China,,,,,,,,Tianjin (Mainland China),,136,3,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Guizhou,26.91,105.48,True,,,,,,,,,Mainland China,,,,,,,,Guizhou (Mainland China),,146,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Hainan,19.15,109.37,True,,,,,,,,,Mainland China,,,,,,,,Hainan (Mainland China),,168,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Yunnan,24.64,101.29,True,,,,,,,,,Mainland China,,,,,,,,Yunnan (Mainland China),,174,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Shaanxi,35.63,106.12,True,,,,,,,,,Mainland China,,,,,,,,Shaanxi (Mainland China),,245,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ESP,Spain,Spain,,40.464,-3.749,True,True,,,,,,,,Spain,,,True,,,,,Spain,,248,3,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Guangxi,23.72,108.66,True,,,,,,,,,Mainland China,,,,,,,,Guangxi (Mainland China),,252,2,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Fujian,25.92,117.17,True,,,,,,,,,Mainland China,,,,,,,,Fujian (Mainland China),,296,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Hebei,38.48,115.24,True,,,,,,,,,Mainland China,,,,,,,,Hebei (Mainland China),,318,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Shanghai,31.19,121.48,True,,,,,,,,,Mainland China,,,,,,,,Shanghai (Mainland China),,339,3,,
Thu Mar  5 13:50:48 PST 2020,1583445048,FRA,France,France,,46.228,2.214,True,True,,Constant Meheut,377,6,0001-03-05,True,True,France,,,True,,,,,France,,377,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Beijing,39.9,116.3,True,,,,,,,,,Mainland China,count_only,,,,,,,Beijing (Mainland China),,418,8,,
Thu Mar  5 13:50:48 PST 2020,1583445048,DEU,Germany,Germany,,51.166,10.452,True,True,,,,,,True,True,Germany,,,True,,,,-30,Germany,,444,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Heilongjiang,46.8,127.07,True,,,,,,,,,Mainland China,,,,,,,,Heilongjiang (Mainland China),,481,13,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Sichuan,30.8,103.8,True,,,,,,,,,Mainland China,,,,,,,,Sichuan (Mainland China),,539,3,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Chongqing,29.5,106.4,True,,,,,,,,,Mainland China,,,,,,,,Chongqing (Mainland China),,576,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Jiangsu,33.15,119.58,True,,,,,,,,,Mainland China,,,,,,,,Jiangsu (Mainland China),,631,0,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Shandong,36.4,116.5,True,,,,,,,,,Mainland China,,,,,,,,Shandong (Mainland China),,758,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Jiangxi,27.28,114.91,True,,,,,,,,,Mainland China,,,,,,,,Jiangxi (Mainland China),,935,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,Mainland China,Mainland China,Anhui,32,116.1,True,,,,,,,,,Mainland China,,,,,,,,Anhui (Mainland China),,990,6,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Hunan,27.4,110.4,True,,,,,,,,,Mainland China,,,,,,,,Hunan (Mainland China),,1018,4,,
Thu Mar  5 13:50:48 PST 2020,1583445048,JPN,Japan,Japan,,36.49,143,True,True,2,"NYT, includes 705 cruise ship + 331 in Japan from JHU",1036,8,0001-03-04,True,,Japan,top,,,,,,,Japan,,1036,8,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Zhejiang,29.1,120.1,True,,,,,,,,,Mainland China,,,,,,,,Zhejiang (Mainland China),,1215,1,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Henan,33.9,112.4,True,,,,,,,,,Mainland China,,,,,,,,Henan (Mainland China),,1272,22,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Guangdong,22.9,112.4,True,,,,,,,,,Mainland China,,,,,,,,Guangdong (Mainland China),,1351,7,,
Thu Mar  5 13:50:48 PST 2020,1583445048,ITA,Italy,Italy,,41.872,12.567,True,True,3,,,,,True,,Italy,,,True,,,,,Italy,,3089,107,,
Thu Mar  5 13:50:48 PST 2020,1583445048,IRN,Iran,Iran,,32.428,53.688,True,True,3,,,,,True,,Iran,,,,,,,,Iran,,3513,107,,
Thu Mar  5 13:50:48 PST 2020,1583445048,KOR,South Korea,South Korea,,35.908,127.767,True,True,3,,,,,True,,S. Korea,top,True,,,S. Korea,South Korea,-20,South Korea,,6088,35,,
Thu Mar  5 13:50:48 PST 2020,1583445048,CHN,,Mainland China,Hubei,32.05,110.5,True,,,,,,,,,Mainland China,count_only,,,,,,,Hubei (Mainland China),,67466,2902,,
