COUNTY,CONFIRMED
ARLINGTON,1
DENVER,1
PIERCE,3
KING,1
NEW YORK,1
BROWARD,2
NEW YORK,3
CABARRUS,1
FORSYTH,2
JOHNSTON,1
NEW YORK,1
NORTHAMPTON,1
MONTGOMERY,4
NEW YORK,2
ALBANY,2
MARION,1
ORLEANS,1
HARRIS,1
MECKLENBURG,2
ROCKINGHAM,1
SALT LAKE,1
NEW CASTLE,3
FREDERICKSBURG CITY,1
PRINCE WILLIAM,1
PRINCE EDWARD,1
HANOVER,1
ALEXANDRIA CITY,1
ANDROSCOGGIN,1
WILLIAMSON,1
YAKIMA,2
JOHNSON,3
DAKOTA,1
HENNEPIN,1
STEARNS,2
BERNALILLO,1
CLARK,3
SEMINOLE,1
COLUMBIA,1
PIKE,1
TRUMBULL,1
SUFFOLK,1
DELAWARE,1
DUTCHESS,1
HERKIMER,1
NEW YORK,34
ORANGE,1
ROCKLAND,1
SARATOGA,1
SUFFOLK,14
ULSTER,2
WESTCHESTER,27
NASSAU,13
JAMES CITY,2
EAGLE,1
NEW YORK,1
DENVER,2
GUNNISON,1
JEFFERSON,1
EAGLE,1
BERGEN,2
ESSEX,1
MONMOUTH,1
MORRIS,1
SOMERSET,1
ADAMS,1
DENVER,1
ADAMS,1
EAGLE,1
PITKIN,1
FAIRFIELD,2
LITCHFIELD,1
LANCASTER,1
KERSHAW,1
LOS ANGELES,3
MIDDLESEX,8
ESSEX,1
NORFOLK,2
SUFFOLK,2
SAN DIEGO,3
UNKNOWN,5
KING,1
LEE,1
KING,34
DANE,2
COLLIN,1
JOHNSON,1
CARROLL,1
HARRIS,1
WAKE,1
CLACKAMAS,1
WASHINGTON,2
EAGLE,4
GREENE,1
FAYETTE,1
MONTGOMERY,1
SNOHOMISH,38
SACRAMENTO,7
SAN MATEO,5
SAN FRANCISCO,4
ALAMEDA,4
NEW YORK,1
LOS ANGELES,1
SANTA CLARA,18
WYANDOTTE,1
RIVERSIDE,2
SANTA FE,1
SAN JOAQUIN,2
TULARE,1
GRAYS HARBOR,1
ISLAND,2
SKAGIT,1
HARRISON,1
INGHAM,1
KENT,3
MONTCALM,1
OAKLAND,2
ST. CLAIR,1
WASHTENAW,2
DAVIDSON,4
KNOX,1
SHELBY,1
WILLIAMSON,3
ANCHORAGE,1
COOK,5
KANE,1
MCHENRY,1
PALM BEACH,2
SARASOTA,2
ALACHUA,1
VOLUSIA,1
