COUNTY,HOSPITALS
MILLER,2
MILWAUKEE,11
MINERAL,3
MINGO,1
MINIDOKA,1
MINNEHAHA,5
MISSISSIPPI,2
MISSOULA,2
MITCHELL,5
MOBILE,6
MOCA,1
MODOC,2
MOFFAT,1
MOHAVE,4
MONMOUTH,5
MONO,1
MONONA,1
MONONGALIA,2
MONROE,24
MONTAGUE,1
MONTCALM,4
MONTEREY,4
MONTEZUMA,1
MONTGOMERY,52
MONTOUR,2
MONTROSE,1
MOODY,1
MOORE,2
MOREHOUSE,2
MORGAN,8
MORRILL,1
MORRIS,5
MORRISON,1
MORROW,2
MORTON,1
MOUNTRAIL,1
MUHLENBERG,1
MULTNOMAH,7
MURRAY,3
MUSCATINE,1
MUSCOGEE,4
MUSKEGON,1
MUSKINGUM,1
MUSKOGEE,1
MUSSELSHELL,1
NACOGDOCHES,2
NANTUCKET,1
NAPA,3
NASH,1
NASSAU,11
NATCHITOCHES,1
NATRONA,3
NAVAJO,5
NAVARRO,1
NELSON,2
NEMAHA,3
NEOSHO,1
NESHOBA,3
NESS,2
NEVADA,2
NEW CASTLE,6
NEW HANOVER,2
NEW HAVEN,9
NEW KENT,1
NEW LONDON,2
NEW YORK,16
NEWAYGO,1
NEWBERRY,1
NEWPORT,1
NEWPORT NEWS CITY,2
NEWTON,2
NEZ PERCE,1
NIAGARA,3
NICHOLAS,1
NICOLLET,1
NIOBRARA,1
NOBLE,2
NOBLES,1
NODAWAY,1
NOLAN,1
NOME,1
NORFOLK,6
NORFOLK CITY,4
NORMAN,1
NORTH SLOPE BOROUH,1
NORTHAMPTON,4
NORTHUMBERLND,1
NORTHWEST ARTIC BOROUGH,1
NORTON,1
NORTON CITY,1
NOWATA,1
NOXUBEE,1
NUCKOLLS,1
NUECES,4
NYE,1
OAKLAND,14
OBION,1
OBRIEN,2
OCEAN,5
OCEANA,1
OCHILTREE,1
OCONEE,1
OCONTO,2
OGEMAW,1
OGLE,1
OHIO,3
OKALOOSA,4
OKANOGAN,3
OKEECHOBEE,1
OKFUSKEE,1
OKLAHOMA,21
OKMULGEE,2
OKTIBBEHA,1
OLDHAM,1
OLMSTED,3
ONEIDA,6
ONONDAGA,4
ONSLOW,3
ONTARIO,3
ONTONAGON,1
ORANGE,44
ORANGEBURG,1
ORLEANS,11
OSAGE,2
OSBORNE,1
OSCEOLA,6
OSWEGO,1
OTERO,3
OTOE,2
OTSEGO,3
OTTAWA,6
OTTER TAIL,3
OUACHITA,6
OUTAGAMIE,2
OVERTON,1
OXFORD,2
OZAUKEE,2
PACIFIC,2
PAGE,3
PALM BEACH,13
PALO ALTO,1
PALO PINTO,1
PANOLA,2
PARK,3
PARKER,1
PARMER,1
PASCO,7
PASQUOTANK,1
PASSAIC,2
PAULDING,2
PAWNEE,4
PAYNE,2
PEACH,1
PEARL RIVER,2
PECOS,2
PEMBINA,1
PEMISCOT,1
PEND OREILLE,1
PENDER,1
PENNINGTON,5
PENOBSCOT,6
PEORIA,3
PEPIN,1
PERKINS,1
PERRY,6
PERSHING,1
PERSON,1
PETERSBURG BOROUGH,1
PETERSBURG CITY,3
PETTIS,1
PHELPS,2
PHILADELPHIA,22
PHILLIPS,5
PIATT,1
PICKAWAY,1
PICKENS,4
PIERCE,11
PIKE,8
PIMA,12
PINAL,4
PINE,1
PINELLAS,12
PIPESTONE,1
PISCATAQUIS,2
PITKIN,1
PITT,1
PITTSBURG,2
PLACER,3
PLATTE,4
PLUMAS,3
PLYMOUTH,5
POCAHONTAS,2
POINTE COUPEE,1
POLK,21
PONCE,5
PONDERA,1
PONTOTOC,4
POPE,2
PORTAGE,2
PORTER,2
PORTSMOUTH CITY,2
POTTAWATOMIE,3
POTTAWATTAMIE,2
POTTER,5
POWELL,1
POWER,1
POWESHIEK,1
PRAIRIE,1
PRATT,1
PRENTISS,1
PRESTON,1
PRICE,1
PRINCE EDWARD,1
PRINCE GEORGES,5
PRINCE WILLIAM,2
PROVIDENCE,8
PROWERS,1
PUEBLO,3
PULASKI,17
PUSHMATAHA,1
PUTNAM,7
QUAY,1
QUEENS,7
QUITMAN,1
RABUN,1
RACINE,2
RALEIGH,2
RAMSEY,6
RANDOLPH,10
RANKIN,6
RANSOM,1
RAPIDES,7
RAVALLI,1
RAWLINS,1
RAY,1
REAGAN,1
RED RIVER,1
RED WILLOW,1
REDWOOD,1
REEVES,1
REFUGIO,1
RENO,2
RENSSELAER,3
RENVILLE,1
REPUBLIC,1
RHEA,1
RICE,3
RICHARDSON,1
RICHLAND,12
RICHMOND,8
RICHMOND CITY,4
RILEY,2
RINGGOLD,1
RIO ARRIBA,1
RIO BLANCO,2
RIO GRANDE,1
RIVERSIDE,17
ROANE,2
ROANOKE CITY,1
ROBERTS,1
ROBERTSON,1
ROBESON,1
ROCK,5
ROCK ISLAND,2
ROCKCASTLE,1
ROCKDALE,1
ROCKINGHAM,5
ROCKLAND,5
ROCKWALL,1
ROGER MILLS,1
ROGERS,2
ROLETTE,2
ROOKS,1
ROOSEVELT,4
ROSEAU,1
ROSEBUD,1
ROSS,1
ROUTT,1
ROWAN,2
RUNNELS,2
RUSH,2
RUSK,2
RUSSELL,4
RUTHERFORD,4
RUTLAND,1
SABINE,2
SAC,1
SACRAMENTO,12
SAGINAW,3
SAINT CROIX ISLAND,1
SAINT THOMAS ISLAND,1
SAIPAN,1
SALEM,2
SALEM CITY,1
SALINE,10
SALT LAKE,15
SAMPSON,1
SAN AUGUSTINE,1
SAN BENITO,1
SAN BERNARDINO,22
SAN DIEGO,21
SAN FRANCISCO,12
SAN GERMAN,2
SAN JOAQUIN,8
SAN JUAN,23
SAN LUIS OBISPO,3
SAN MATEO,7
SAN MIGUEL,1
SAN PATRICIO,1
SANDERS,1
SANDOVAL,1
SANDUSKY,2
SANGAMON,3
SANILAC,3
SANPETE,2
SANTA BARBARA,6
SANTA CLARA,12
SANTA CRUZ,5
SANTA FE,3
SANTA ROSA,4
SARASOTA,4
SARATOGA,2
SARPY,2
SAUK,3
SAUNDERS,1
SAWYER,1
SCHENECTADY,2
SCHLEICHER,1
SCHOHARIE,1
SCHOOLCRAFT,1
SCHUYLER,2
SCHUYLKILL,2
SCIOTO,2
SCOTLAND,2
SCOTT,12
SCOTT BLUFF,1
SCREVEN,1
SCURRY,1
SEBASTIAN,3
SEDGWICK,7
SEMINOLE,4
SENECA,3
SEQUOYAH,1
SEVIER,2
SEWARD,2
SHARKEY,1
SHASTA,4
SHAWANO,1
SHAWNEE,3
SHEBOYGAN,2
SHELBY,17
SHENANDOAH,1
SHERIDAN,4
SHERMAN,1
SHIAWASSEE,1
SHOSHONE,1
SIBLEY,1
SIERRA,1
SILVER BOW,1
SIMPSON,3
SIOUX,5
SISKIYOU,2
SITKA BOROUGH,2
SKAGIT,3
SMITH,7
SMYTH,2
SNOHOMISH,5
SOCORRO,1
SOLANO,6
SOMERSET,8
SOMERVELL,1
SONOMA,9
SPALDING,1
SPARTANBURG,1
SPINK,1
SPOKANE,7
SPOTSYLVANIA,1
ST. BERNARD,1
ST. CHARLES,6
ST. CLAIR,9
ST. CROIX,3
ST. FRANCIS,1
ST. FRANCOIS,3
ST. HELENA,1
ST. JAMES,2
ST. JOHN BAPTIST,1
ST. JOHNS,1
ST. JOSEPH,6
ST. LANDRY,2
ST. LAWRENCE,6
ST. LOUIS,19
